ID,cluster
15421,0
15451,1
15457,1
15459,0
15478,0
15528,1
15546,1
15551,0
15570,0
15585,0
15601,0
15625,0
15635,0
15655,0
15667,0
15725,0
15731,0
15733,0
15747,3
15749,0
15787,1
15798,0
15819,1
15867,0
15911,0
15923,0
15952,0
15957,1
15966,0
16006,0
16014,0
16017,1
16042,0
16059,0
16089,1
16119,0
16120,0
16159,1
16168,1
16170,1
16173,0
16182,0
16187,1
16212,0
16216,0
16242,0
16274,0
16301,0
16386,0
16396,0
16440,0
16467,0
16470,0
16476,0
16528,0
16535,3
16569,1
16570,1
16630,0
16679,1
16690,0
16708,0
16716,1
16764,0
16775,0
16791,0
16798,1
16817,1
16851,0
16879,0
16917,0
16918,0
16921,0
16957,0
16959,0
16987,0
17008,0
17014,0
17024,0
17035,0
17058,3
17066,3
17072,3
17074,0
17100,3
17129,0
17137,2
17162,0
17174,0
17221,1
17262,0
17295,0
17299,0
17306,0
17377,0
17384,1
17386,0
17416,0
17430,1
17446,1
17465,1
17474,0
17505,0
17514,1
17570,0
17572,0
17577,1
17601,0
17610,0
17616,1
17678,1
17698,1
17702,0
17706,0
17751,0
17770,3
17807,0
17818,1
17844,0
17854,1
17870,0
17906,1
17916,3
17918,3
17919,1
17953,0
17964,0
17965,0
17975,0
17977,0
17978,0
18048,1
18053,0
18062,0
18099,1
18111,3
18159,1
18203,1
18215,0
18218,0
18220,0
18279,0
18330,1
18353,0
18384,0
18399,0
18408,0
18433,0
18450,1
18468,0
18499,0
18506,1
18514,0
18551,0
18560,0
18562,1
18616,0
18673,0
18732,0
18737,0
18752,0
18762,1
18777,1
18778,1
18785,1
18790,1
18800,0
18804,0
18808,1
18809,1
18810,1
18820,0
18921,1
18922,1
18937,0
18942,1
18988,1
19007,0
19020,1
19052,0
19062,0
19078,0
19082,0
19094,0
19114,0
19175,0
19178,0
19192,0
19198,0
19202,0
19203,0
19216,0
19217,0
19223,0
19243,1
19258,0
19270,1
19275,0
19298,0
19302,1
19308,0
19331,0
19337,0
19338,0
19350,0
19359,0
19362,0
19399,0
19416,0
19417,0
19437,1
19447,0
19508,0
19528,0
19540,0
19573,0
19587,0
19593,0
19596,0
19604,1
19650,1
19651,1
19673,0
19726,1
19727,0
19743,0
19746,0
19786,0
19829,0
19895,1
19908,0
19913,0
19917,1
19947,1
19964,0
19978,0
19980,3
20055,1
20059,0
20064,1
20071,0
20072,0
20077,1
20101,0
20105,0
20114,1
20135,0
20156,0
20176,1
20189,0
20220,0
20224,0
20241,0
20252,1
20280,3
20281,0
20351,0
20389,0
20394,0
20398,0
20399,1
20403,1
20453,1
20469,3
20498,0
20534,0
20543,1
20559,1
20565,0
20573,1
20592,0
20601,0
20631,3
20648,0
20682,1
20718,1
20746,1
20754,1
20781,1
20801,0
20824,0
20891,0
20900,0
20907,0
20910,0
20946,0
20960,3
20962,1
21041,0
21049,0
21086,0
21113,0
21125,0
21143,0
21162,0
21175,1
21201,1
21253,0
21279,0
21298,0
21316,0
21331,1
21337,0
21359,0
21383,0
21389,0
21392,1
21393,0
21394,1
21395,0
21398,0
21405,1
21423,0
21439,0
21534,1
21571,1
21628,0
21634,1
21640,0
21643,0
21655,0
21657,0
21665,1
21704,0
21712,0
21717,0
21740,1
21775,1
21794,0
21804,1
21812,0
21817,1
21829,1
21848,1
21850,0
21854,0
21862,0
21868,0
21871,1
21888,0
21889,1
21917,3
21930,0
21940,0
21948,1
21999,0
22005,0
22023,0
22051,0
22060,0
22062,0
22100,0
22111,0
22115,0
22161,0
22167,1
22168,0
22172,0
22176,0
22181,0
22214,0
22220,0
22226,0
22254,1
22269,0
22278,0
22286,0
22298,0
22338,0
22345,0
22355,0
22373,0
22389,1
